slug,name,brand,current_price,is_drip_exclusive,stockx_price
air-jordan-1-high-og-atmosphere-bubble-gum,Air Jordan 1 High OG Atmosphere (Bubble Gum),Jordan,170,,
air-jordan-1-high-og-patent-bred,Air Jordan 1 High OG Patent Bred,Jordan,200,,
air-jordan-1-high-og-x-union-la-x-bbs-pale-vanilla,Air Jordan 1 High OG x Union LA x BBS Pale Vanilla,Jordan,400,,
air-jordan-1-high-retro-og-lucky-green,Air Jordan 1 High Retro OG Lucky Green,Jordan,170,,
air-jordan-1-low-aluminium,Air Jordan 1 Low Aluminium,Jordan,130,,
air-jordan-1-low-galactic-jade,Air Jordan 1 Low Galactic Jade,Jordan,130,,
air-jordan-1-low-og-mocha,Air Jordan 1 Low OG Mocha,Jordan,200,,
air-jordan-1-low-og-neutral-grey-2021,Air Jordan 1 Low OG Neutral Grey (2021),Jordan,150,,
air-jordan-1-low-og-sp-travis-scott-medium-olive,Air Jordan 1 Low OG SP Travis Scott Medium Olive,Jordan,550,,
air-jordan-1-low-pastel-tie-dye,Air Jordan 1 Low Pastel Tie-Dye,Jordan,130,,
air-jordan-1-low-quai-54-2021,Air Jordan 1 Low Quai 54 (2021),Jordan,280,,
air-jordan-1-low-se-light-curry,Air Jordan 1 Low SE Light Curry,Jordan,120,,
air-jordan-1-low-se-wrmk-sashiko-denim,Air Jordan 1 Low SE WRMK Sashiko Denim,Jordan,150,,
air-jordan-1-low-sp-travis-scott-black-phantom,Air Jordan 1 Low SP Travis Scott Black Phantom,Jordan,1150,,
air-jordan-1-low-travis-scott-fragment,Air Jordan 1 Low Travis Scott Fragment,Jordan,1800,,
air-jordan-1-low-travis-scott-reverse-mocha,Air Jordan 1 Low Travis Scott Reverse Mocha,Jordan,1500,,
air-jordan-1-mid-barely-grape,Air Jordan 1 Mid Barely Grape,Jordan,120,,
air-jordan-1-mid-coconut-milk,Air Jordan 1 Mid Coconut Milk,Jordan,120,,
air-jordan-1-mid-grey-green,Air Jordan 1 Mid Grey Green,Jordan,120,,
air-jordan-1-mid-white-black-royal,Air Jordan 1 Mid Racer Blue Gs,Jordan,130,,
air-jordan-1-mid-university-blue-grey,Air Jordan 1 Mid University Blue Grey,Jordan,130,,
air-jordan-1-retro-high-off-white-chicago-the-ten,Air Jordan 1 Retro High Off-White Chicago “The Ten”,Jordan,8500,,
air-jordan-1-retro-high-off-white-nrg,Air Jordan 1 Retro High Off-White NRG,Jordan,1700,,
air-jordan-1-retro-high-og-washed-pink,Air Jordan 1 Retro High OG Washed Pink,Jordan,160,,
air-jordan-1-retro-high-travis-scott-cactus-jack,"Air Jordan 1 Retro High Travis Scott ""Cactus Jack""",Jordan,1800,,
air-jordan-1-retro-low-dior,Air Jordan 1 Retro Low Dior,Jordan,7000,,
air-jordan-1-retro-low-golf-travis-scott-neutral-olive,Air Jordan 1 Retro Low Golf Travis Scott Neutral Olive,Jordan,1200,,
air-jordan-1-retro-low-og-black-cement,Air Jordan 1 Retro Low OG Black Cement,Jordan,150,,
air-jordan-1-retro-low-og-black-dark-powder-blue,Air Jordan 1 Retro Low OG Black Dark Powder Blue,Jordan,140,,
air-jordan-1-low-og-atmosphere-grey,Air Jordan 1 Retro Low OG EX Sail,Jordan,150,,
air-jordan-1-retro-low-og-ex-sail-1,Air Jordan 1 Retro Low OG EX Sail,Jordan,150,,
air-jordan-1-retro-low-og-sp-travis-scott-canary,Air Jordan 1 Retro Low OG SP Travis Scott Canary,Jordan,580,,
air-jordan-1-retro-low-og-sp-travis-scott-velvet-brown,Air Jordan 1 Retro Low OG SP Travis Scott Velvet Brown,Jordan,600,,
air-jordan-1-retro-low-travis-scott,Air Jordan 1 Retro Low Travis Scott,Jordan,1600,,
air-jordan-3-retro-black-cat-2025,Air Jordan 3 Retro Black Cat (2025),Jordan,200,,
air-jordan-3-retro-j-balvin-rio,Air Jordan 3 Retro J Balvin Rio,Jordan,400,,
air-jordan-3-retro-off-noir,Air Jordan 3 Retro Off Noir,Jordan,190,,
air-jordan-3-retro-sp-j-balvin-medellin-sunset,Air Jordan 3 Retro SP J Balvin Medellín Sunset,Jordan,500,,
air-jordan-3-se-muslin,Air Jordan 3 SE Muslin,Jordan,190,,
air-jordan-4-a-ma-maniere-phantom,Air Jordan 4 A Ma Maniére Phantom,Jordan,400,,
air-jordan-4-black-canvas,Air Jordan 4 Black Canvas,Jordan,250,,
air-jordan-4-hyper-violet,Air Jordan 4 Hyper Violet,Jordan,230,,
air-jordan-4-midnight-navy,Air Jordan 4 Midnight Navy,Jordan,280,,
air-jordan-4-military-black,Air Jordan 4 Military Black,Jordan,300,,
air-jordan-3-retro-off-noir-copy,Air Jordan 4 Military Blue,Jordan,280,,
air-jordan-4-orchid,Air Jordan 4 Orchid,Jordan,220,,
air-jordan-4-oxidized-green,Air Jordan 4 Oxidized Green,Jordan,230,,
air-jordan-4-red-cement,Air Jordan 4 Red Cement,Jordan,270,,
air-jordan-4-retro-forget-me-not,Air Jordan 4 Retro Forget Me Not,Jordan,240,,
air-jordan-4-retro-frozen-moments,Air Jordan 4 Retro Frozen Moments,Jordan,240,,
air-jordan-4-retro-og-sp-nigel-sylvester-brick-by-brick,Air Jordan 4 Retro OG SP Nigel Sylvester Brick by Brick,Jordan,600,,
air-jordan-4-retro-red-thunder,Air Jordan 4 Retro Red Thunder,Jordan,340,,
air-jordan-4-retro-sb-navy,Air Jordan 4 Retro SB Navy,Jordan,350,,
air-jordan-4-retro-sb-pine-green,Air Jordan 4 Retro SB Pine Green,Jordan,400,,
air-jordan-4-retro-se-craft-medium-olive,Air Jordan 4 Retro SE Craft Medium Olive,Jordan,250,,
air-jordan-4-retro-thunder-2023,Air Jordan 4 Retro Thunder (2023),Jordan,320,,
air-jordan-4-retro-white-cement-2025,Air Jordan 4 Retro White Cement (2025),Jordan,260,,
air-jordan-4-retro-white-thunder-1,Air Jordan 4 Retro White Thunder,Jordan,320,,
air-jordan-4-rm-nigel-sylvester-pro-green,Air Jordan 4 RM Nigel Sylvester Pro Green,Jordan,450,,
air-jordan-4-rm-sp-nigel-sylvester-driveway-grey,Air Jordan 4 RM SP Nigel Sylvester Driveway Grey,Jordan,260,,
air-jordan-4-sail-metallic-gold,Air Jordan 4 Sail Metallic Gold,Jordan,260,,
air-jordan-4-se-paris-olympic,Air Jordan 4 SE Paris Olympic,Jordan,320,,
air-jordan-4-vivid-sulfur,Air Jordan 4 Vivid Sulfur,Jordan,220,,
air-jordan-4-zen-master,Air Jordan 4 Zen Master,Jordan,300,,
air-jordan-jumpman-jack-tr-travis-scott-dark-mocha,Air Jordan Jumpman Jack TR 'Travis Scott Dark Mocha',Jordan,400,,
air-jordan-jumpman-jack-tr-travis-scott-bright-cactus,Air Jordan Jumpman Jack TR Travis Scott Bright Cactus,Jordan,350,,
air-jordan-jumpman-jack-tr-travis-scott-sail,Air Jordan Jumpman Jack TR Travis Scott Sail,Jordan,450,,
air-jordan-jumpman-jack-tr-travis-scott-x-chase-b-black-night-silver,Air Jordan Jumpman Jack TR Travis Scott x Chase B Black Night Silver,Jordan,450,,
jordan-1-low-se-concord,Jordan 1 Low SE Concord,Jordan,150,,
jordan-1-low-se-light-smoke-grey-gym-red,Jordan 1 Low SE Light Smoke Grey Gym Red,Jordan,140,,
jordan-1-mid-se-dark-chocolate,Jordan 1 Mid SE Dark Chocolate,Jordan,160,,
jordan-1-mid-wolf-grey-aluminum,Jordan 1 Mid Wolf Grey Aluminum,Jordan,140,,
jordan-1-retro-high-85-og-bred-2025,Jordan 1 Retro High 85 OG Bred (2025),Jordan,350,,
jordan-1-retro-high-dark-mocha,Jordan 1 Retro High Dark Mocha,Jordan,300,,
jordan-1-retro-high-hyper-royal-smoke-grey,Jordan 1 Retro High Hyper Royal Smoke Grey,Jordan,230,,
jordan-1-retro-high-og-unc-toe,Jordan 1 Retro High OG UNC Toe,Jordan,200,,
jordan-1-retro-high-virgil-abloh-archive-alaska,Jordan 1 Retro High Virgil Abloh Archive Alaska,Jordan,900,,
jordan-1-retro-low-og-medium-olive,Jordan 1 Retro Low OG Medium Olive,Jordan,190,,
jordan-1-retro-low-og-nigel-sylvester-better-with-time,Jordan 1 Retro Low OG Nigel Sylvester Better With Time,Jordan,350,,
jordan-1-retro-low-og-sp-travis-scott-olive,Jordan 1 Retro Low OG SP Travis Scott Olive,Jordan,1100,,
jordan-1-retro-low-og-year-of-the-dragon-2024,Jordan 1 Retro Low OG Year of the Dragon (2024),Jordan,170,,
jordan-1-retro-low-og-zion-williamson-voodoo,Jordan 1 Retro Low OG Zion Williamson Voodoo,Jordan,300,,
jordan-1-retro-low-og-zion-williamson-voodoo-alternate,Jordan 1 Retro Low OG Zion Williamson Voodoo Alternate,Jordan,280,,
jordan-11-retro-dmp-gratitude-2023,Jordan 11 Retro DMP Gratitude (2023),Jordan,280,,
jordan-11-retro-gamma-blue-2025,Jordan 11 Retro Gamma Blue (2025),Jordan,280,,
jordan-11-retro-low-legend-blue,Jordan 11 Retro Low Legend Blue,Jordan,200,,
jordan-3-retro-og-sp-a-ma-maniere-while-you-were-sleeping,Jordan 3 Retro OG SP A Ma Maniére While You Were Sleeping,Jordan,400,,
jordan-4-retro-black-cat-2025,Jordan 4 Retro Black Cat (2025),Jordan,350,,
jordan-4-retro-bred-reimagined,Jordan 4 Retro Bred Reimagined,Jordan,320,,
jordan-4-retro-cave-stone,Jordan 4 Retro Cave Stone,Jordan,260,,
jordan-4-retro-fear-2024,Jordan 4 Retro Fear (2024),Jordan,320,,
jordan-4-retro-off-white-sail-women-s,Jordan 4 Retro Off-White Sail,Jordan,1200,,
jordan-4-retro-og-flight-club,Jordan 4 Retro OG Flight Club,Jordan,320,,
jordan-4-retro-platinum-gold-gs,Jordan 4 Retro Platinum Gold GS,Jordan,260,,
jordan-4-retro-se-craft-photon-dust,Jordan 4 Retro SE Craft Photon Dust,Jordan,220,,
jordan-4-retro-seafoam-sail,Jordan 4 Retro Seafoam Sail,Jordan,300,,
jordan-4-retro-university-blue,Jordan 4 Retro University Blue,Jordan,400,,
jordan-5-retro-wolf-grey-2026,Jordan 5 Retro Wolf Grey (2026),Jordan,260,,
jordan-jumpman-jack-tr-travis-scott-green-sp,Jordan Jumpman Jack TR Travis Scott Green Sp,Jordan,400,,
nike-zoom-field-jaxx-travis-scott-light-chocolate,Nike Zoom Field Jaxx Travis Scott Light Chocolate,Jordan,400,,
new-balance-1906l-metallic-silver,"New Balance 1906L 'Metallic Silver Deep Ocean""",New Balance,180,,
new-balance-2002r-protection-pack-phantom,New Balance 2002R Protection Pack Phantom,New Balance,220,,
new-balance-2002r-protection-pack-rain-cloud,New Balance 2002R Protection Pack Rain Cloud,New Balance,220,,
new-balance-2002r-protection-pack-sea-salt,New Balance 2002R Protection Pack Sea Salt,New Balance,200,,
new-balance-204l-mushroom-arid-stone,New Balance 204L Mushroom Arid Stone,New Balance,180,,
new-balance-204l-timberwolf,New Balance 204L Timberwolf,New Balance,170,,
new-balance-530-white-silver-navy,New Balance 530 White Silver Navy,New Balance,120,,
new-balance-9060-sparrow-flat-taupe-1,New Balance 9060 'Sparrow Flat Taupe',New Balance,180,,
new-balance-9060-linen-dark-juniper,New Balance 9060 Linen Dark Juniper,New Balance,180,,
new-balance-9060-rain-cloud,New Balance 9060 Rain Cloud,New Balance,180,,
air-force-1-low-nocta-drake-certified-lover-boy,Air Force 1 Low NOCTA Drake Certified Lover Boy,Nike,280,,
air-force-1-low-supreme-black-white,Air Force 1 Low Supreme Black White,Nike,280,,
air-force-1-low-supreme-white-black,Air Force 1 Low Supreme White Black,Nike,280,,
air-force-1-low-white-supreme,Air Force 1 Low White Supreme,Nike,280,,
air-max-95-corteiz-honey-black,Air Max 95 Corteiz Honey Black,Nike,450,,
nike-dunk-high-wu-tang-2024,Dunk High Wu-Tang (2024),Nike,350,,
hot-step-2-nocta-drake-white,Hot Step 2 NOCTA Drake White,Nike,300,,
hot-step-2-nocta-eggplant,Hot Step 2 NOCTA Eggplant,Nike,280,,
hot-step-2-nocta-total-orange,Hot Step 2 NOCTA Total Orange,Nike,250,,
hot-step-air-terra-drake-nocta-violet-haze,Hot Step Air Terra Drake NOCTA Violet Haze,Nike,220,,
kobe-5-protro-year-of-the-mamba-eggplant,Kobe 5 Protro Year of the Mamba Eggplant,Nike,450,,
kobe-8-protro-court-purple,Kobe 8 Protro Court Purple,Nike,280,,
kobe-8-protro-year-of-the-horse-2026,Kobe 8 Protro Year of the Horse (2026),Nike,320,,
nike-dunk-low-archeo-pink,Nike  Dunk Low Archeo Pink,Nike,120,,
nike-air-force-1-low-07-white,Nike Air Force 1 Low ’07 White,Nike,120,,
nike-air-force-1-low-black-supreme,Nike Air Force 1 Low Black Supreme,Nike,280,,
nike-air-force-1-low-kobe-bryant-lakers-home,Nike Air Force 1 Low Kobe Bryant Lakers Home,Nike,400,,
nike-air-force-1-low-protro-kobe-bryant-mamba-mentality,Nike Air Force 1 Low Protro Kobe Bryant Mamba Mentality,Nike,380,,
nike-air-force-1-low-supreme-baroque-brown,Nike Air Force 1 Low Supreme Baroque Brown,Nike,400,,
nike-air-force-1-low-tiffany-co-1837,Nike Air Force 1 Low Tiffany & Co. 1837,Nike,1400,,
nike-air-max-95-sp-a-ma-maniere-while-you-were-sleeping,Nike Air Max 95 SP 'A Ma Maniére While You Were Sleeping',Nike,400,,
nike-air-max-97-black-white,Nike Air Max 97 Black-White,Nike,180,,
nike-air-max-plus-patta-fc-barcelona-culers-del-mon,Nike Air Max Plus Patta FC Barcelona Culers del Món,Nike,350,,
nike-book-1-what-the,Nike Book 1 What The,Nike,220,,
nike-dunk-low-cacao-wow,Nike Dunk Low Cacao Wow,Nike,120,,
nike-dunk-low-celtics,Nike Dunk Low Celtics,Nike,120,,
nike-dunk-low-chicago-split,Nike Dunk Low Chicago Split,Nike,140,,
nike-dunk-low-clear-jade,Nike Dunk Low Clear Jade,Nike,140,,
nike-dunk-low-court-purple-2022,Nike Dunk Low Court Purple (2022),Nike,120,,
nike-dunk-low-dark-driftwood-w,Nike Dunk Low Dark Driftwood (W),Nike,120,,
nike-dunk-low-grey-fog,Nike Dunk Low Grey Fog,Nike,120,,
nike-dunk-low-laser-fuchsia,Nike Dunk Low Laser Fuchsia,Nike,130,,
nike-dunk-low-laser-orange,Nike Dunk Low Laser Orange,Nike,140,,
nike-dunk-low-medium-curry,Nike Dunk Low Medium Curry,Nike,160,,
nike-dunk-low-medium-olive,Nike Dunk Low Medium Olive,Nike,140,,
nike-dunk-low-next-nature-white-mint,Nike Dunk Low Next Nature White Mint,Nike,120,,
nike-dunk-low-peach-cream,Nike Dunk Low Peach Cream,Nike,130,,
nike-dunk-low-premium-bacon,Nike Dunk Low Premium Bacon,Nike,200,,
nike-dunk-low-purple-pulse,Nike Dunk Low Purple Pulse,Nike,140,,
nike-dunk-low-reflective-grey,Nike Dunk Low Reflective Grey,Nike,130,,
nikenike-dunk-low-retro-white-black-panda,Nike Dunk Low Retro White Black Panda,Nike,130,,
nike-dunk-low-rose-whisper,Nike Dunk Low Rose Whisper,Nike,130,,
nike-dunk-low-se-85-neptune-green,Nike Dunk Low SE 85 Neptune Green,Nike,130,,
nike-dunk-low-se-fleece-pack-burgundy-crush,Nike Dunk Low SE Fleece Pack Burgundy Crush,Nike,130,,
nike-dunk-low-smoke-grey-gum-3m-swoosh,Nike Dunk Low Smoke Grey Gum 3M Swoosh,Nike,150,,
nike-dunk-low-summit-white-midnight-navy,Nike Dunk Low Summit White Midnight Navy,Nike,130,,
nike-dunk-low-unc-2021-gs,Nike Dunk Low UNC (2021) (GS),Nike,120,,
nike-dunk-low-university-red,Nike Dunk Low University Red,Nike,140,,
nike-dunk-low-usc,Nike Dunk Low USC,Nike,130,,
nike-ja-3-all-star,Nike Ja 3 All-Star,Nike,160,,
nike-ja-3-pink-foam,Nike Ja 3 Jelly Bean,Nike,150,,
nike-ja-3-max-volume,Nike Ja 3 Max Volume,Nike,160,,
nike-ja-3-scratch-3-0,Nike Ja 3 Scratch 3.0,Nike,150,,
nike-ja-3-snowed-in,Nike Ja 3 Snowed In,Nike,150,,
nike-ja-3-twelve-time,Nike Ja 3 Twelve Time,Nike,150,,
nike-ja-3-zombie,Nike Ja 3 Zombie,Nike,160,,
nike-kobe-4-protro-fc-barcelona-team-gold,Nike Kobe 4 Protro FC Barcelona Team Gold,Nike,350,,
nike-kobe-4-protro-girl-dad,Nike Kobe 4 Protro Girl Dad,Nike,400,,
nike-kobe-4-protro-gold-medal-2024,Nike Kobe 4 Protro Gold Medal (2024),Nike,350,,
nike-kobe-4-protro-philly-2024,Nike Kobe 4 Protro Philly (2024),Nike,380,,
nike-kobe-5-protro-x-ray,Nike Kobe 5 Protro X-Ray,Nike,420,,
nike-kobe-6-protro-asg-hollywood-3d-2026,Nike Kobe 6 Protro ASG Hollywood 3D (2026),Nike,320,,
nike-kobe-6-protro-grinch-2020,Nike Kobe 6 Protro Grinch (2020),Nike,1100,,
nike-kobe-6-protro-italian-camo,Nike Kobe 6 Protro Italian Camo,Nike,550,,
nike-kobe-6-protro-reverse-grinch,Nike Kobe 6 Protro Reverse Grinch,Nike,500,,
kobe-6-protro-sail-all-star,Nike Kobe 6 Protro Sail All-Star,Nike,550,,
nike-kobe-6-protro-total-orange,Nike Kobe 6 Protro Total Orange,Nike,400,,
nike-kobe-8-protro-lakers-away,Nike Kobe 8 Protro Lakers Away,Nike,320,,
nike-kobe-8-protro-lakers-home,Nike Kobe 8 Protro Lakers Home,Nike,320,,
nike-kobe-8-protro-university-red,Nike Kobe 8 Protro University Red,Nike,320,,
nike-kobe-8-protro-venice-beach-2024,Nike Kobe 8 Protro Venice Beach (2024),Nike,400,,
nike-kobe-8-protro-what-the-2025,Nike Kobe 8 Protro What The (2025),Nike,450,,
nike-kobe-9-em-low-mambacita,Nike Kobe 9 EM Low Mambacita,Nike,300,,
nike-lebron-23-40k-gold,Nike LeBron 23 40K Gold,Nike,280,,
nike-mind-001-slide-black-chrome,Nike Mind 001 Slide Black Chrome,Nike,130,,
nike-mind-001-slide-light-smoke-grey,Nike Mind 001 Slide Light Smoke Grey,Nike,130,,
nike-nocta-glide-drake-black-iron-grey-1,Nike NOCTA Glide Drake Black Iron Grey,Nike,300,,
nike-nocta-glide-drake-black-iron-grey,Nike NOCTA Glide Drake Black Iron Grey,Nike,300,,
nike-nocta-glide-drake-white-black,Nike NOCTA Glide Drake White Black,Nike,300,,
nike-sb-dunk-high-pro-iso-kentucky,Nike SB Dunk High Pro ISO Kentucky,Nike,130,,
nike-sb-dunk-low-april-skateboards,Nike SB Dunk Low April Skateboards,Nike,450,,
nike-sb-dunk-low-big-money-savings,Nike SB Dunk Low Big Money Savings,Nike,280,,
nike-sb-dunk-low-born-x-raised-one-block-at-a-time,Nike SB Dunk Low Born x Raised One Block At A Time,Nike,600,,
nike-sb-dunk-low-city-of-love-light-bone,Nike SB Dunk Low City of Love Light Bone,Nike,350,,
nike-sb-dunk-low-concepts-orange-lobster,Nike SB Dunk Low Concepts Orange Lobster,Nike,450,,
nike-sb-dunk-low-court-purple,Nike SB Dunk Low Court Purple,Nike,140,,
nike-sb-dunk-low-futura-laboratories-bleached-aqua,Nike SB Dunk Low Futura Laboratories Bleached Aqua,Nike,420,,
nike-sb-dunk-low-hayley-wilson,Nike SB Dunk Low Hayley Wilson,Nike,250,,
nike-sb-dunk-low-parra-2021,Nike SB Dunk Low Parra (2021),Nike,600,,
nike-sb-dunk-low-pro-chicago,Nike SB Dunk Low Pro Chicago,Nike,220,,
nike-sb-dunk-low-pro-iso-orange-label-court-purple,Nike SB Dunk Low Pro ISO Orange Label Court Purple,Nike,220,,
nike-sb-dunk-low-pro-paisley-brown,Nike SB Dunk Low Pro Paisley Brown,Nike,260,,
nike-sb-dunk-low-rodeo-tourmaline,Nike SB Dunk Low Rodeo Tourmaline,Nike,320,,
nike-sb-dunk-low-the-powerpuff-girls-blossom,Nike SB Dunk Low The Powerpuff Girls Blossom,Nike,420,,
nike-sb-dunk-low-the-powerpuff-girls-bubbles,Nike SB Dunk Low The Powerpuff Girls Bubbles,Nike,500,,
nike-sb-dunk-low-the-powerpuff-girls-buttercup,Nike SB Dunk Low The Powerpuff Girls Buttercup,Nike,400,,
nike-sb-dunk-low-tightbooth,Nike SB Dunk Low TIGHTBOOTH,Nike,400,,
nike-sb-dunk-low-verdy-visty,Nike SB Dunk Low Verdy Visty,Nike,500,,
nike-sb-dunk-low-yuto-horigome,Nike SB Dunk Low Yuto Horigome,Nike,400,,
nike-sb-dunk-low-yuto-horigome-matcha,Nike SB Dunk Low Yuto Horigome Matcha,Nike,350,,
nike-zoom-vomero-5-520-white-pink-1,Nike Zoom Vomero 5 520 White Pink,Nike,150,,
nike-zoom-vomero-5-chrome-toe,Nike Zoom Vomero 5 Chrome Toe,Nike,150,,
nike-zoom-vomero-5-khaki,Nike Zoom Vomero 5 Khaki,Nike,150,,
nike-zoom-vomero-5-photon-dust-metallic-silver,Nike Zoom Vomero 5 Photon Dust Metallic Silver,Nike,180,,
nocta-glide-black-white,NOCTA Glide Black White,Nike,300,,
nocta-glide-drake-bright-crimson,NOCTA Glide Drake Bright Crimson,Nike,320,,
puma-speedcat-wedge-totally-taupe-chocolate-womens,Puma Speedcat Wedge Totally Taupe Chocolate (Women's),Nike,150,,
sb-dunk-low-alexis-sablone-chameleon,SB Dunk Low Alexis Sablone Chameleon,Nike,300,,
salomon-xt-pathway-2-feid-fxxomor,Salomon XT-Pathway 2 Feid FXXOMOR,Salomon,350,,
supreme-stone-island-camp-cap-fw23,Supreme Stone Island Camp Cap (FW23),Stone Island × Supreme,180,,
supreme-stone-island-reflective-beanie,Supreme Stone Island Reflective Beanie FW23,Stone Island × Supreme,160,,
supreme-stone-island-reflective-beanie-grey,Supreme Stone Island Reflective Beanie Grey,Stone Island × Supreme,160,,
stussy-paris-tee,Stussy Paris Tee,Stüssy,120,,
stussy-paris-tee-faded-black,Stussy Paris Tee Faded Black,Stüssy,120,,
ugg-lowmel-chestnut,UGG Lowmel Chestnut,UGG,160,,
ugg-lowmel-sand,UGG Lowmel Sand,UGG,160,,
ugg-tasman-palace-slippers,UGG Tasman Palace Slipper Burnt Olive Camo,UGG,300,,
ugg-tasman-slipper-palace-black-camo,UGG Tasman Slipper Palace Black Camo,UGG,320,,
ugg-tasman-slipper-palace-chestnut-camo,UGG Tasman Slipper Palace Chestnut Camo,UGG,320,,
ugg-tazz-slipper-mustard-seed,UGG Tazz Slipper Mustard Seed,UGG,160,,
adidas-yeezy-boost-350-v2-ash-pearl,Adidas Yeezy Boost 350 V2 Ash Pearl,Yeezy,220,,
yeezy-boost-350-v2-bone,Adidas Yeezy Boost 350 V2 Bone,Yeezy,220,,
adidas-yeezy-boost-350-v2-mx-rock,Adidas Yeezy Boost 350 V2 MX Rock,Yeezy,230,,
adidas-yeezy-boost-350-v2-onyx-2022-2023,Adidas Yeezy Boost 350 V2 Onyx (2022/2023),Yeezy,220,,
yeezy-350-v2-carbon-beluga,Yeezy 350 V2 Carbon Beluga,Yeezy,240,,
yeezy-350-v2-steel-grey,Yeezy 350 V2 Steel Grey,Yeezy,230,,
yeezy-500-utility-black,Yeezy 500 Utility Black,Yeezy,220,,
yeezy-700-v3-azael,Yeezy 700 V3 Azael,Yeezy,260,,
yeezy-boost-350-pirate-black,Yeezy Boost 350 Pirate Black,Yeezy,350,,
yeezy-boost-350-v2-beluga-reflective,Yeezy Boost 350 V2 Beluga Reflective,Yeezy,260,,
yeezy-boost-350-v2-black-red,Yeezy Boost 350 V2 Black Red,Yeezy,400,,
yeezy-boost-350-v2-blue-tint,Yeezy Boost 350 V2 Blue Tint,Yeezy,300,,
yeezy-boost-350-v2-citrin-reflective,Yeezy Boost 350 V2 Citrin (Non-Reflective),Yeezy,260,,
